PartitionKey,RowKey,Timestamp,url,url@type,phrase,phrase@type,urlstill,urlstill@type
tasksSign,001,2017-09-28T18:30:01.640Z,https://media1.giphy.com/media/l0MYxJxWgnNaXe2C4/200.gif,Edm.String,Alcohol,Edm.String,https://media1.giphy.com/media/l0MYxJxWgnNaXe2C4/200_s.gif,Edm.String
tasksSign,002,2017-09-28T18:30:01.640Z,https://media0.giphy.com/media/26DOMxDhzBIet0Y6c/200.gif,Edm.String,Dead,Edm.String,https://media0.giphy.com/media/26DOMxDhzBIet0Y6c/200_s.gif,Edm.String
tasksSign,003,2017-09-28T18:30:01.640Z,https://media1.giphy.com/media/3o6ZsU5Hsa3xmnfDa0/200.gif,Edm.String,,Edm.String,https://media1.giphy.com/media/3o6ZsU5Hsa3xmnfDa0/200_s.gif,Edm.String
tasksSign,004,2017-09-28T18:30:01.640Z,https://media2.giphy.com/media/3o7TKTtBYWU4Iey6Yg/200.gif,Edm.String,Popcorn,Edm.String,https://media2.giphy.com/media/3o7TKTtBYWU4Iey6Yg/200_s.gif,Edm.String
tasksSign,005,2017-09-28T18:30:01.640Z,https://media3.giphy.com/media/3o6ZtmnidXHIoQJfH2/200.gif,Edm.String,Cinco de Mayo,Edm.String,https://media3.giphy.com/media/3o6ZtmnidXHIoQJfH2/200_s.gif,Edm.String
tasksSign,006,2017-09-28T18:30:01.640Z,https://media0.giphy.com/media/3o7TKGggEJ1AgD3tny/200.gif,Edm.String,Fat Overweight,Edm.String,https://media0.giphy.com/media/3o7TKGggEJ1AgD3tny/200_s.gif,Edm.String
tasksSign,007,2017-09-28T18:30:01.640Z,https://media0.giphy.com/media/l0MYQOXZzNvdwEk1i/200.gif,Edm.String,Wine,Edm.String,https://media0.giphy.com/media/l0MYQOXZzNvdwEk1i/200_s.gif,Edm.String
tasksSign,008,2017-09-28T18:30:01.640Z,https://media2.giphy.com/media/l4q88nfCo5ipr79Ly/200.gif,Edm.String,Sick,Edm.String,https://media2.giphy.com/media/l4q88nfCo5ipr79Ly/200_s.gif,Edm.String
tasksSign,009,2017-09-28T18:30:01.640Z,https://media0.giphy.com/media/l0MYzjlxBWJn24Wbe/200.gif,Edm.String,"here's an example to shoo someone""ay. BYE BYE.",Edm.String,https://media0.giphy.com/media/l0MYzjlxBWJn24Wbe/200_s.gif,Edm.String
tasksSign,010,2017-09-28T18:30:01.640Z,https://media3.giphy.com/media/l0MYALSY7psvvVss0/200.gif,Edm.String,"""Are you alright?'",Edm.String,https://media3.giphy.com/media/l0MYALSY7psvvVss0/200_s.gif,Edm.String
tasksSign,011,2017-09-28T18:30:01.640Z,https://media0.giphy.com/media/26DOMIFuQMlhmuSeQ/200.gif,Edm.String,Alive,Edm.String,https://media0.giphy.com/media/26DOMIFuQMlhmuSeQ/200_s.gif,Edm.String
tasksSign,012,2017-09-28T18:30:01.640Z,https://media3.giphy.com/media/3oz8xQ4sE2n2VUtQnC/200.gif,Edm.String,Take your time,Edm.String,https://media3.giphy.com/media/3oz8xQ4sE2n2VUtQnC/200_s.gif,Edm.String
tasksSign,013,2017-09-28T18:30:01.640Z,https://media2.giphy.com/media/26FL38K4TJ3IdmGLm/200.gif,Edm.String,NOT MY PROBLEM,Edm.String,https://media2.giphy.com/media/26FL38K4TJ3IdmGLm/200_s.gif,Edm.String
tasksSign,014,2017-09-28T18:30:01.640Z,https://media1.giphy.com/media/3o7TKyaGmljdgcTkZy/200.gif,Edm.String,,Edm.String,https://media1.giphy.com/media/3o7TKyaGmljdgcTkZy/200_s.gif,Edm.String
tasksSign,015,2017-09-28T18:30:01.640Z,https://media0.giphy.com/media/d1FKRi6bNTt5l2YE/200.gif,Edm.String,,Edm.String,https://media0.giphy.com/media/d1FKRi6bNTt5l2YE/200_s.gif,Edm.String
tasksSign,016,2017-09-28T18:30:01.640Z,https://media1.giphy.com/media/3oz8xsZswgFxkKdJ6w/200.gif,Edm.String,What happened?,Edm.String,https://media1.giphy.com/media/3oz8xsZswgFxkKdJ6w/200_s.gif,Edm.String
tasksSign,017,2017-09-28T18:30:01.640Z,https://media0.giphy.com/media/26FLjs6ZkIbZrPzpK/200.gif,Edm.String,Square,Edm.String,https://media0.giphy.com/media/26FLjs6ZkIbZrPzpK/200_s.gif,Edm.String
tasksSign,018,2017-09-28T18:30:01.640Z,https://media2.giphy.com/media/3o7TKv6MgQfdSRT01G/200.gif,Edm.String,Schizophrenia,Edm.String,https://media2.giphy.com/media/3o7TKv6MgQfdSRT01G/200_s.gif,Edm.String
tasksSign,019,2017-09-28T18:30:01.640Z,https://media3.giphy.com/media/l0MYwg9gvb34CDJyE/200.gif,Edm.String,Sore Throat,Edm.String,https://media3.giphy.com/media/l0MYwg9gvb34CDJyE/200_s.gif,Edm.String
tasksSign,020,2017-09-28T18:30:01.640Z,https://media3.giphy.com/media/3o7TKUfdgGbAVTlzX2/200.gif,Edm.String,Diabetes,Edm.String,https://media3.giphy.com/media/3o7TKUfdgGbAVTlzX2/200_s.gif,Edm.String
tasksSign,021,2017-09-28T18:30:01.640Z,https://media1.giphy.com/media/l4Jz1MS9wiLzZaQ5q/200.gif,Edm.String,,Edm.String,https://media1.giphy.com/media/l4Jz1MS9wiLzZaQ5q/200_s.gif,Edm.String
tasksSign,022,2017-09-28T18:30:01.640Z,https://media0.giphy.com/media/3oz8xzQ8OzEB0M8pDG/200.gif,Edm.String,GPS,Edm.String,https://media0.giphy.com/media/3oz8xzQ8OzEB0M8pDG/200_s.gif,Edm.String
tasksSign,023,2017-09-28T18:30:01.640Z,https://media1.giphy.com/media/l0MYA7vrWImXPv7va/200.gif,Edm.String,Bronchitis,Edm.String,https://media1.giphy.com/media/l0MYA7vrWImXPv7va/200_s.gif,Edm.String
tasksSign,024,2017-09-28T18:30:01.641Z,https://media0.giphy.com/media/l3vRbhDoYLXg76GVa/200.gif,Edm.String,Are we there yet?,Edm.String,https://media0.giphy.com/media/l3vRbhDoYLXg76GVa/200_s.gif,Edm.String
tasksSign,025,2017-09-28T18:30:01.641Z,https://media2.giphy.com/media/3oz8xxZjw8HJxLcmD6/200.gif,Edm.String,Please help me.,Edm.String,https://media2.giphy.com/media/3oz8xxZjw8HJxLcmD6/200_s.gif,Edm.String
tasksSign,026,2017-09-28T18:30:01.641Z,https://media0.giphy.com/media/3o7TKLBuD0PtV5vcIM/200.gif,Edm.String,Alzheimer's,Edm.String,https://media0.giphy.com/media/3o7TKLBuD0PtV5vcIM/200_s.gif,Edm.String
